StoreID: 1 | Date: 3/1/16 | Register: 3 | Sale: $661.1 | Total Produced: 1 | Sleep: 29ms
StoreID: 2 | Date: 23/7/16 | Register: 2 | Sale: $295.12 | Total Produced: 2 | Sleep: 10ms
StoreID: 4 | Date: 21/4/16 | Register: 1 | Sale: $132.31 | Total Produced: 3 | Sleep: 9ms
StoreID: 6 | Date: 11/9/16 | Register: 3 | Sale: $446.47 | Total Produced: 4 | Sleep: 16ms
StoreID: 8 | Date: 23/9/16 | Register: 1 | Sale: $139.7 | Total Produced: 5 | Sleep: 37ms
StoreID: 10 | Date: 29/4/16 | Register: 2 | Sale: $62.11 | Total Produced: 6 | Sleep: 20ms
StoreID: 6 | Date: 5/8/16 | Register: 2 | Sale: $248.32 | Total Produced: 7 | Sleep: 38ms
StoreID: 9 | Date: 10/2/16 | Register: 4 | Sale: $768.61 | Total Produced: 8 | Sleep: 28ms
StoreID: 2 | Date: 21/4/16 | Register: 4 | Sale: $339.91 | Total Produced: 9 | Sleep: 5ms
StoreID: 3 | Date: 21/3/16 | Register: 3 | Sale: $664.13 | Total Produced: 10 | Sleep: 35ms
StoreID: 5 | Date: 1/4/16 | Register: 5 | Sale: $909.67 | Total Produced: 11 | Sleep: 30ms
StoreID: 7 | Date: 12/3/16 | Register: 3 | Sale: $229.22 | Total Produced: 12 | Sleep: 5ms
StoreID: 4 | Date: 23/11/16 | Register: 6 | Sale: $27.41 | Total Produced: 13 | Sleep: 32ms
StoreID: 2 | Date: 22/12/16 | Register: 1 | Sale: $707.91 | Total Produced: 14 | Sleep: 23ms
StoreID: 10 | Date: 28/11/16 | Register: 3 | Sale: $802.3 | Total Produced: 15 | Sleep: 39ms
StoreID: 7 | Date: 21/1/16 | Register: 2 | Sale: $362.43 | Total Produced: 16 | Sleep: 21ms
StoreID: 8 | Date: 29/7/16 | Register: 1 | Sale: $664.73 | Total Produced: 17 | Sleep: 5ms
StoreID: 9 | Date: 12/1/16 | Register: 2 | Sale: $928.32 | Total Produced: 18 | Sleep: 34ms
StoreID: 6 | Date: 26/5/16 | Register: 4 | Sale: $821.52 | Total Produced: 19 | Sleep: 8ms
StoreID: 1 | Date: 29/8/16 | Register: 2 | Sale: $638.88 | Total Produced: 20 | Sleep: 21ms
StoreID: 5 | Date: 30/7/16 | Register: 4 | Sale: $804.67 | Total Produced: 21 | Sleep: 11ms
StoreID: 8 | Date: 2/9/16 | Register: 5 | Sale: $867.08 | Total Produced: 22 | Sleep: 12ms
StoreID: 3 | Date: 1/11/16 | Register: 2 | Sale: $954.95 | Total Produced: 23 | Sleep: 8ms
StoreID: 6 | Date: 13/9/16 | Register: 3 | Sale: $241.89 | Total Produced: 24 | Sleep: 37ms
StoreID: 2 | Date: 20/1/16 | Register: 1 | Sale: $751.96 | Total Produced: 25 | Sleep: 39ms
StoreID: 4 | Date: 3/12/16 | Register: 5 | Sale: $494.23 | Total Produced: 26 | Sleep: 12ms
StoreID: 7 | Date: 9/1/16 | Register: 6 | Sale: $831.05 | Total Produced: 27 | Sleep: 29ms
StoreID: 5 | Date: 13/11/16 | Register: 3 | Sale: $327.64 | Total Produced: 28 | Sleep: 16ms
StoreID: 3 | Date: 16/6/16 | Register: 2 | Sale: $450.31 | Total Produced: 29 | Sleep: 39ms
StoreID: 10 | Date: 24/4/16 | Register: 1 | Sale: $656.75 | Total Produced: 30 | Sleep: 25ms
StoreID: 8 | Date: 2/11/16 | Register: 1 | Sale: $784.35 | Total Produced: 31 | Sleep: 35ms
